ID,UniqueId,Nickname,Verified,Title,Description,IsCommerce,Stats,HashtagName,HeartCount,VideoCount,DiggCount,ShareCount,CommentCount,PlayCount,CollectCount
7108828054608301318,,,,,😂😂😂 #mentoo #ElectrifyTheMini #duet #johnnydepp #deppheard #johnnydeppisinnocent #johnnydepp #amberheard #johnnygotjustice #justiceforjohnnydepp #captainjacksparrow #survivor #xyzbca #fypシ #fyp #foryou #viral #camillevasquez,,[object Object],,,,,,,,
7157420908276223275,,,,,"I just had to share this. It brought tears to my eyes. I know this made Christine’s day! Johnny is the most loving, caring man.❤️ @johnnydepp #johnnydepp #johnnydeppforever #kind #loving #humble #deppheard #neverfeartruth ❤️❤️🥰🥰 (credit to Christinekelly838 & jerridepp on IG)",,[object Object],,,,,,,,
7095784855539076394,,,,,Not sure if that was a passive aggressive sexy text or a “I know you cheated on me” text?! #johnnydepp #deppheard #johnny #trial #quote #funnyJOHNNY’S QUOTES SHIRTS ONLINE STORE —-> LINK IN MY BIO!!!!!!https://www.bonfire.com/store/johnny-depp-quotes/,,[object Object],,,,,,,,
7102018147057765634,,,,,Is it normal or not? #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydepptrial #deppvheard #amberheardjohnnydepp #johnnydeppisinnocent #mentoo #amberheard #deppheard,,[object Object],,,,,,,,
7102079668173409537,,,,,SEND HELP #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justiceforjohnnydepp #johnnydepptrial #deppheard #amberheard #deppvheard #defamationtrial,,[object Object],,,,,,,,
7102049596154612993,,,,,Another one bites the dust #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydepptrial #deppvheard #amberheardjohnnydepp #johnnydeppisinnocent #amberheard #mentoo #deppheard,,[object Object],,,,,,,,
7101720510588833025,,,,,Great stuff this is I’ve never been more excited #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydepptrial #amberheard #amberheardjohnnydepp #mentoo #judgepenny #deppheard #tmz,,[object Object],,,,,,,,
7108285519112539397,,,,,Vad händer om Amber Heard inte kan betala 101 miljoner i skadestånd?😬 #aftonbladet #deppheard,,[object Object],,,,,,,,
7094865516766055681,,,,,I will be debunking the lies until trial starts again #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #johnnydepp #johnnydepptrial #deppheard,,[object Object],,,,,,,,
7099929960315391238,,,,,a video made that it show how arnica cream works on bruises.  #johnnydeppisinnocent #johnnydepp #johnnydepptrial #johnnydeppvsamberheard #johnnydepplove #johnnydeppcourt #deppheard #amberturd🤮 #amberheardisguilty,,[object Object],,,,,,,,
7098345969351150854,,,,,“I was afraid scary scary scared” - Amber Heard  #johnnydepp #johnnydeppisinnocent #justiceforjohnnydepp #mentoo #amberheard #amberheardjohnnydepp #scary #deppheard #deppvsheard #fyp #fypシ #trend #trending #sound,,[object Object],,,,,,,,
7101688065646710022,,,,,#KateMoss made a brief appearance in the #deppvheard #trial to speak about a holiday she went on with #JohnnyDepp in the 1990s #amberheard #deppheard,,[object Object],,,,,,,,
7093398054480497922,,,,,Justice for Johnny #fyp #johnnydepp #amberheard #deppheard #deppheardtrial #MacPack,,[object Object],,,,,,,,
7091518932917472558,,,,,"“Here you go, ma’am.” 🥴 #eldermillenial #80sbaby #1982 #deppheard #deppheardtrial",,[object Object],,,,,,,,
7102191758146030874,,,,,DR GILBERT PUTTING ROTTENBORN IN HIS PLACE 👏🏻👏🏻 #justiceforjohnnydepp #deppvheard #johnnydepp #johnnydepptrial #amberturd #justiceforjohnny #deppheard #benchew #supportjohnnydepp #johnnydeppedit #fairfaxcounty #court #fyp #foryou #fypシ #rottenborn,,[object Object],,,,,,,,
7102410830347586818,,,,,Go Camille!! #justiceforjohnny #johnnydepp #amberturd #defamationtrial #deppheard #deppheard #justiceforjohnnydepp #deppvheard #johnnydepptrial #amberheard #benchew #camillevasquez #deppheard,,[object Object],,,,,,,,
7088765421763054891,,,,,People waited hours outside the courthouse. #johnnydepp #amberheard #fairfax #dmv #washingtondc #deppheard,,[object Object],,,,,,,,
7098809368711499054,,,,,"Reply to @i.dont.have.thinkk  When The Sass speaks, the objection is sustained. #camillevasquez #justiceforjohnnydepp #brownrudnick #johnnydeppisinnocent #deppheard #lawyersofinstagram",,[object Object],,,,,,,,
7093573852860632321,,,,,See you on the stand amber #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #deppheard #captainjacksparrow #johnnydepp #johnnydepptrial #defamationtrial,,[object Object],,,,,,,,
7088738862087867694,,,,,#johnnydepp #amberheard #deppheard #depptrial #johnnydeppcourt #johnnydepptrial #depp #takeaNAIRbreak #MoveWithTommy #depptok #johnnydeppisinnocent #johnnydeppcourtcase,,[object Object],,,,,,,,
7098750103803989249,,,,,THE REACTIONS KILL ME #justiceforjohnny #amberturd #johnnydepp #deppheard #deppvheard #defamationtrial #justicefordepp #johnnydepptrial #justiceforjohnnydepp #amberheardjohnnydepp #johnnydeppisinnocent #amberheard #mentoo #wtf #day17,,[object Object],,,,,,,,
7102444367285161222,,,,,#johnnydepp #deppheard #justiceforjohnnydepp #crazy #narcissist  #captainjacksparrow #duet #xyzbca #fypシ #deppvheard #camillevasquez #fyp #jasonmamoa   #katemoss #lier #HolidayModeActivated,,[object Object],,,,,,,,
7113920022401060097,,,,,“you weren’t around for us and that changed when Amber came into your life” - Lily-Rose Depp. Day 2 of the UK proceedings. #lilyrose #lilyrosedepp #johnnydepp #amberheard #vanessaparadis #eltonjohn #fyp #foryou #viral #trending #deppheard,,[object Object],,,,,,,,
7096556147234082091,,,,,#AmberAlert #NewMeaning #JusticeForJohnny #LittleJohnny #Jokes #SuzenGotJokes #ForYou #JohnnyAndMe #LaughWithMe #DeppHeard #CanHeHaveYourVote #RunningForPresident #MotherMary 🤣,,[object Object],,,,,,,,
7097618799762902274,,,,,“OH I WISH YOU COULD” IM DEAD IM CRYING #johnnydepp #justiceforjohnny #amberturd #deppheard #deppvheard #defamationtrial #johnnydepptrial #justicefordepp #fone #icant #amberheard #amberheardjohnnydepp,,[object Object],,,,,,,,
7091872016189459714,,,,,Glad to see a laugh #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #deppheard #court #mrrottenborn #captainjacksparrow #hahaha #fyp #defamationtrial #johnnydepp #johnnydepptrial,,[object Object],,,,,,,,
7098822937410555178,,,,,#greenscreen only one man put a stop to this pure EVIL 👿 #FYP #deppheard #johnnydepp #amberheard,,[object Object],,,,,,,,
7263141374629858592,,,,,Im gonna kill the quality. But the text speaks facts🫣 #johnnydepp #johnny #justiceforjohnnydepp #istandwithjohnnydepp #depp #deppheard #deppheads #johnnydepptiktok #johnnydeppedit #johnnydepplove #johnnydeppedits #trending #fy #fyp #captainjacksparrow #piratesofthecaribbean ,,[object Object],,,,,,,,
7101720837430004998,,,,,Im Prozess zwischen Johnny Depp und Amber Heard kam nun auch Kate Moss zu Wort. Sie war in den 1990er Jahren mit dem Schauspieler liiert. #katemoss #moss #deppvheard #deppheard,,[object Object],,,,,,,,
7102063298102742273,,,,,She’s gonna tell more lies let’s go #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydepptrial #deppvheard #amberheardjohnnydepp #johnnydeppisinnocent #amberheard #deppvheard #mentoo #deppheard,,[object Object],,,,,,,,
7099422296560930091,,,,,Do you say I love you? My episode The Downside w @Gianmarco Soresi #iloveyou #indiantiktok #momlifebelike #immigrantparents #zarnagarg #gianmarcosoresi #amberheard #deppheard,,[object Object],,,,,,,,
7102183443588484378,,,,,Not her saying Kate Moss needed the fame💁🏼‍♀️ #justiceforjohnnydepp #deppvheard #johnnydepp #amberturd #justiceforjohnny #johnnydepptrial #camillevasquez #deppheard #justicefordepp #johnnydeppamberheard #katemoss #katemoss90s #benchew #camillevasquez #supportjohnnydepp #johnnydeppedit #fyp #foryou #fypシ #fairfaxcounty #court,,[object Object],,,,,,,,
7099605050565119278,,,,,Ladies and Gentleman - your Dream Team. 😇 #depp #deppheard #johnnydepp,,[object Object],,,,,,,,
7105802130497244421,,,,,"""Estoy en shock"" fue la respuesta de #JohnnyDepp cuando sus fans lo felicitaron por el juicio I #c5n #amberheard #depp #deppheard #news",,[object Object],,,,,,,,
7100305799486000426,,,,,Reply to @__claire__marie Y'all! No way. #johnnydepptrial #amberheard #deppheard #justiceforjohnnydepp #johnnydepp #deppvheard #audio #aquaman #johnnydeppvsamberheard,,[object Object],,,,,,,,
7092801995706322177,,,,,The dance when he gets out of the car #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #deppheard #court #captainjacksparrow #hahaha #fyp #johnnydepptrial #johnnydepp #mrrottenborn #defamationtrial,,[object Object],,,,,,,,
7095013728910920965,,,,,Guilty. #glenlantz #madhatter #johnnydepp #editor #justiceforjohnnydepp #amberheard #fyp #piratesofthecaribbean #fypシ #crybaby #mxiavsp #queencheryl #satire #southpark #disney #disneyplus #johnnydepptiktok #depphead #dollhouse #melaniemartinez #itsjustacigarretteanditcannotbethatbad #court #deppheard #deppheardtrial #trial #courttrail,,[object Object],,,,,,,,
7102485510760844549,,,,,Closing arguments have been made in the Johnny Depp v Amber Heard trial #itvnews #johnnydepp #amberheard #deppvheard #deppheard #usa #america,,[object Object],,,,,,,,
7098469177152802094,,,,,I cannot 🤣🤣🤣🤣 #depp #deppheard #johnny #johnnydepp,,[object Object],,,,,,,,
7101699335179472130,,,,,Fits amber to a tea #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydepptrial #amberheard #drcurry #deppvheard #elainebredehoft #deppheard #johnnydeppisinnocent #amberheardjohnnydepp #mentoo,,[object Object],,,,,,,,
7101710912486198530,,,,,The fact that she was flinching at the sight of him and now she does this #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydepptrial #amberheard #amberheardjohnnydepp #deppvheard #mentoo #elainebredehoft #deppheard,,[object Object],,,,,,,,
7094329101917490478,,,,,#greenscreen #psychology #deppheard #reputationmanagement #amberheard #johnnydepp,,[object Object],,,,,,,,
7092053569347669254,,,,,Voi siete team Amber o team Johnny ?  #deppheardtrial #deppheard,,[object Object],,,,,,,,
7099541730785037611,,,,,WHAT was this face about?? #justiceforjohnnydepp ##johnnydepp #deppvsturd #deppheard #johnnydeppvsamberheard,,[object Object],,,,,,,,
7098631893532380418,,,,,mountains of evidence she says  #justiceforjohnny #amberturd #johnnydepp #deppheard #deppvheard #defamationtrial #justicefordepp #johnnydepptrial #justiceforjohnnydepp #amberheardjohnnydepp #johnnydeppisinnocent #mentoo,,[object Object],,,,,,,,
7101697669617274113,,,,,The fact her scores were that high on an atypical test is alarming to me #justiceforjohnny #johnnydepp #amberturd #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydeppisinnocent #johnnydepptrial #amberheard #defamationtrial #deppvheard  #deppheard #drcurry,,[object Object],,,,,,,,
7099892185356635435,,,,,Reply to @positivelyme208  yes! One of my fav parts too!! #depp #deppheard #johnnydepp #amberheard,,[object Object],,,,,,,,
7093563083959848194,,,,,Absolute goat #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #deppheard #court #captainjacksparrow #johnnydepp #johnnydepptrial #defamationtrial,,[object Object],,,,,,,,
7098762963225447682,,,,,Did he beat her up or did he leave the room im confused? #justiceforjohnny #amberturd #johnnydepp #deppheard #deppvheard #defamationtrial #justicefordepp #justiceforjohnnydepp #johnnydeppisinnocent #amberheard #mentoo #amberheardjohnnydepp #johnnydepptrial,,[object Object],,,,,,,,
7099802107305315586,,,,,"Johnny Depp được bố mẹ Amber Heard và loạt sao nổi tiếng lên tiếng ủng hộ, bênh vực #johnnydepp #amberheard #deppheard #vgttv",,[object Object],,,,,,,,
7259063220311313691,,,,,Poor Jack :( #johnnydepp #johnny #justiceforjohnnydepp #istandwithjohnnydepp #depp #deppheard #deppheads #johnnydepptiktok #johnnydeppedit #johnnydeppedits #johnnydepplove #fy #fyp #trending #piratesofthecaribbean #potc #capatainjacksparrow #elizabethswann ,,[object Object],,,,,,,,
7091322939005472005,,,,,Just some of my favourite moments from yesterdays cross examination #justiceforjohnnydepp #JohnnyDepp #amberheard #amberturd #johnnydepptrial #amberheardtrial #deppheardtrial #deppheard,,[object Object],,,,,,,,
7104411218164682027,,,,,Glad the case is over and light was shed on the true villain. Way to go Mr. Depp. #johnnydepp #deppheardtrial #deppheard #johnnydeppisinnocent #justiceforjohhnydepp #justiceisserved #deppvsheard #disneyland #disneylandband #disneyband #disneymarchingband,,[object Object],,,,,,,,
7091094213063904554,,,,,Amber Heard’s lawyer accidentally defends Depp 😂😏 #teamjohnnydepp #teamdepp #wishlawyer #amberheard #amberturd #deppheard #johnnydepptrial #whosesideareyouon #dumb #whoops #😏 #😂 #🤡 #johnnydepp #johnnydeppisinnocent #johnnydepptiktok #april262022 #gaslighter #gaslight #victim #funny  #psychiatrist #psychologist #fyp #court #trial #johnny,,[object Object],,,,,,,,
7094998763739041025,,,,,“I didn’t do it on purpose” she says #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #johnnydeppisinnocent #amberturd #johnnydepp #amberheardjohnnydepp #johnnydepptrial #defamationtrial #lies #exposed #deppheard,,[object Object],,,,,,,,
7094869539141291265,,,,,She wants to talk about Jerry judge here we go #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #johnnydeppisinnocent #amberturd #amberheardjohnnydepp #johnnydepp #johnnydepptrial #defamationtrial #deppheard,,[object Object],,,,,,,,
7106087391437393154,,,,,Idc who’s “side” you’re on but if you’re justifying this behaviour thinking it’s normal just bc he played “Captain Jack Sparrow” then you need help. People seem to be forgetting that some of these were sent before she allgedly “started abusing” him & they’re not just all about her. If that’s not a major 🚩 idk what is lmao. Don’t get me started on his shady history…  #johnnydepp #johnnydeppisnotinnocent #johnnydepptextmessages #amberheard #deppheard #fyp #mysoginistic,,[object Object],,,,,,,,
7104189925284760838,,,,,Amber or Depp? 👇 @Kaya Solo #ambervsjohnny #deppheard #fyp #foryourpage #viral #slovenija #slovenijatiktok,,[object Object],,,,,,,,
7094288668520680705,,,,,Her changes in emotion are actually so concerning is she ok? #justiceforjohnnydepp #justicefordepp #justiceforjohnny #amberheard #amberturd #johnnydeppisinnocent #amberheardjohnnydepp #johnnydepp #deppheard #defamationtrial #johnnydepptrial,,[object Object],,,,,,,,
7262415543976742176,,,,,Guys I guess I created my favourite edit ever omgggg #johnnydepp #johnny #justiceforjohnnydepp #istandwithjohnnydepp #depp #deppheard #deppheads #johnnydepptiktok #johnnydeppedit #johnnydepplove #johnnydeppedits #trending #fy #fyp #diorsauvage #johnnydeppdior ,,[object Object],,,,,,,,
7098719334821891329,,,,,Your done #justiceforjohnny #amberturd #johnnydepp #deppheard #deppvheard #defamationtrial #justicefordepp #johnnydepptrial #justiceforjohnnydepp #amberheardjohnnydepp #johnnydeppisinnocent #amberheard #metoo #justiceforjohnny #amberturd,,[object Object],,,,,,,,
7095695259685965061,,,,,è un attimo per diventare un pirata #fyp #foryou #fotyoupage #johnnydepp #deppheard #piratesofthecaribbean #piratideicaraibiedit,,[object Object],,,,,,,,
7117705960436600069,,,,,Isolation! 🤍🎼🤍 Jeff Beck & Johnny Depp  🤍🤍🤍 @Johnny Depp #JohnnyDepp #JeffBeck #johnnydeppforever #hollywoodvampires #johnnydepptiktok #johnnydeppfansworld #hedylamarr #isolation #deathresurrection #johnnydeppamberheardtrial #iloveyoujohnny #tour #Music #Show #Live #heroes #louisxv #lafavorite #rockstars #rock #disney #deppheard #album18 #song #perfect #life #france🇫🇷 #fyp #foryourpage #CamilleVasquez #beauty #viral #isolation #perfect,,[object Object],,,,,,,,
7104723885983075627,,,,,"Reply to @ntauf91 I’m not sure why what I’ve said about the #deppheard case has turned into ppl thinking im AH’s no 1 defender — I’m not defending her or condemning JD. I’m not talking about her OR JD’s innocence or guilt. Im addressing the misogyny and lack of understanding inherent in the coverage of the trial, and the regressive dialogue around abuse and SA. The “justice system” isn’t about truth; it’s about who can be more believable, or paint a more favorable narrative. #nyc #deppvheard",,[object Object],,,,,,,,
